,Ground Truth,Predictions
245,0.6758756,1.276444
246,-0.0731809,-0.087812394
247,-0.3663663,-0.24558334
248,-0.7736722,-0.41334242
249,-0.03908957,-0.38438603
250,-0.6290987,0.064458884
251,-0.10326152,-0.46370107
252,0.39527977,0.007877692
253,0.617561,0.67739433
254,-0.43373308,-0.28428262
255,0.48833975,0.39561495
256,1.0255367,0.6155003
257,-0.3882083,-0.26666707
258,0.6333782,-0.1523081
259,-0.36001697,-0.0007414231
260,0.69519126,0.9170544
261,-0.45610508,0.1450977
262,-0.28442013,-0.055330586
263,-0.9728385,-0.4941134
264,-0.095027685,0.019084558
265,-0.04214086,-0.23995942
266,0.52449465,0.943659
267,1.5039772,0.8713647
268,-0.4201302,-0.1516984
269,1.5147538,1.1518639
270,-0.34464568,-0.33376804
271,0.01645759,-0.26444784
272,-0.45398146,-0.14828311
273,0.19664797,0.33061263
